vehicle_id,vehicle_model,engine_temperature,speed,latitude,longitude,battery_efficiency,timestamp
VH_00027,Tesla Model 3,74.1,39.3,-13.495886,-44.250133,74.7,2024-11-19 03:51:59
VH_00028,Chevrolet Bolt,65.1,135.3,-36.891357,6.775459,76.9,2024-11-02 23:56:05
VH_00029,Tesla Model 3,97.3,76.7,-5.840822,-32.777001,94.1,2024-11-16 09:21:20
VH_00030,Chevrolet Bolt,61.5,79.5,-42.187522,-152.680161,97.0,2024-11-15 07:08:17
VH_00031,Toyota Camry,90.8,115.9,51.457193,153.578131,73.0,2024-11-04 11:07:38
VH_00032,Honda Civic,92.8,60.1,31.519319,-89.991489,92.4,2024-11-14 07:46:27
VH_00033,Toyota Camry,96.2,24.8,63.899858,77.826729,86.3,2024-11-13 16:14:41
VH_00034,Tesla Model 3,,53.9,58.015594,101.926171,82.1,2024-11-20 16:44:34
VH_00035,BMW X5,105.5,2.1,27.736386,176.138866,98.5,2024-11-20 07:07:38
VH_00036,Ford F-150,103.4,37.8,-47.929826,31.32131,86.6,2024-11-23 18:07:11
VH_00037,Hyundai Ioniq,87.7,142.5,-33.64653,-112.375241,93.1,2024-11-21 06:38:29
VH_00038,Ford F-150,87.0,100.5,-22.55397,27.903042,73.9,2024-11-01 11:16:45
VH_00039,Ford F-150,99.5,63.8,-49.411685,-26.741035,92.6,2024-11-27 02:21:14
VH_00040,Tesla Model 3,95.2,102.2,-84.202381,-129.911495,99.3,2024-11-17 00:46:11
VH_00041,Tesla Model 3,107.9,164.5,13.298172,-39.28108,81.4,2024-11-19 23:07:26
VH_00042,Toyota Camry,83.2,85.5,-30.808555,166.297733,89.2,2024-11-15 18:56:15
VH_00043,Tesla Model 3,66.3,99.5,-84.229352,68.048838,84.7,2024-11-10 01:30:43
VH_00044,Honda Civic,114.7,69.5,-52.939387,-75.20201,85.7,2024-11-23 01:43:17
VH_00045,Chevrolet Bolt,91.1,30.9,64.747323,-32.089956,74.7,2024-11-06 09:01:33
VH_00046,Tesla Model 3,85.1,133.8,-19.981278,145.291502,76.2,2024-11-10 23:37:51
VH_00047,Tesla Model 3,109.1,119.7,-61.419375,27.032898,79.3,2024-11-10 20:28:49
VH_00048,Ford F-150,101.1,49.6,-88.660204,-128.630884,71.9,2024-11-20 09:08:40
VH_00049,Toyota Camry,74.8,59.2,12.461233,-3.254894,83.9,2024-11-02 21:32:13
VH_00050,Tesla Model 3,77.3,158.6,-7.864808,72.113954,91.3,2024-11-15 10:33:10
VH_00051,Honda Civic,109.4,153.0,-15.290503,-115.35188,88.5,2024-11-21 23:24:20
VH_00052,Honda Civic,114.6,33.0,12.350748,-38.321526,98.4,2024-11-12 15:15:54
VH_00053,Ford F-150,69.5,158.9,6.792758,59.996499,72.0,2024-11-11 13:07:12
VH_00054,Chevrolet Bolt,84.7,137.1,-68.178488,-47.256456,92.7,2024-11-25 11:39:45
VH_00055,Ford F-150,79.6,81.2,-44.502009,2.183246,83.9,2024-11-04 13:16:44
VH_00056,BMW X5,100.5,83.1,-28.141611,-36.236939,75.8,2024-11-02 20:00:38
VH_00057,Ford F-150,,20.6,75.084656,-62.240269,92.5,2024-11-24 12:47:07
VH_00058,Mercedes EQS,65.0,118.3,38.444677,-22.419485,84.1,2024-11-14 13:13:25
VH_00059,Tesla Model 3,70.2,3.3,-71.907278,-74.107925,86.0,2024-11-19 23:22:21
VH_00060,Honda Civic,100.3,2.0,-40.814592,-21.363123,75.3,2024-11-02 16:07:52
VH_00061,Ford F-150,91.9,79.6,-81.403916,48.524548,85.7,2024-11-05 23:45:46
VH_00062,Tesla Model 3,78.5,9.4,-89.160168,98.06749,93.0,2024-11-13 02:55:16
VH_00063,Tesla Model 3,74.3,16.4,-14.097109,176.144625,80.1,2024-11-10 07:52:23
VH_00064,Honda Civic,63.8,172.6,-72.611423,120.73863,89.9,2024-11-09 02:37:26
VH_00065,Honda Civic,90.8,146.8,-31.917676,45.643116,88.7,2024-11-27 07:07:45
VH_00066,Ford F-150,85.7,41.8,-70.940643,-63.587582,70.4,2024-11-16 08:26:47
VH_00067,Honda Civic,,38.3,-50.382685,56.866213,78.4,2024-11-18 21:53:34
VH_00068,Tesla Model 3,113.1,74.0,48.158124,-0.152631,99.7,2024-11-27 00:41:48
VH_00069,Toyota Camry,115.3,102.5,-44.650772,-145.891956,79.7,2024-11-19 20:42:41
VH_00070,Hyundai Ioniq,118.3,124.9,-30.231621,48.727243,96.5,2024-11-16 10:27:30
VH_00071,Chevrolet Bolt,100.0,12.2,-86.823216,148.357172,83.5,2024-11-25 19:23:18
VH_00072,Toyota Camry,73.9,105.7,87.908556,-96.261874,88.5,2024-11-07 00:32:09
VH_00073,Hyundai Ioniq,104.3,136.3,21.557921,-158.427714,81.2,2024-11-15 09:34:52
VH_00074,Tesla Model 3,82.5,115.6,-47.148486,81.111032,99.7,2024-11-22 12:58:42
VH_00075,Toyota Camry,79.7,50.1,25.848373,93.777798,85.6,2024-11-21 03:23:09
VH_00076,Toyota Camry,77.3,4.3,62.448272,-60.742702,77.3,2024-11-27 04:20:37
VH_00077,Hyundai Ioniq,115.1,177.9,54.261325,70.660097,76.7,2024-11-19 12:27:47
VH_00078,Chevrolet Bolt,71.0,113.4,-78.368962,-3.008776,98.6,2024-11-03 12:42:32
VH_00079,Chevrolet Bolt,68.5,36.8,-73.483309,33.347034,94.9,2024-11-10 22:06:43
VH_00080,Honda Civic,64.7,130.5,-33.936665,79.802556,77.3,2024-11-09 13:33:44
VH_00081,BMW X5,78.2,103.8,84.190646,-107.495638,95.9,2024-11-24 08:36:16
VH_00082,Hyundai Ioniq,118.4,71.7,-59.802113,-21.104614,85.2,2024-11-22 00:58:59
VH_00083,Ford F-150,109.2,142.8,-86.434006,-42.689048,95.6,2024-11-15 13:47:42
VH_00084,Ford F-150,69.2,130.8,-43.68749,-13.085556,83.6,2024-11-19 05:04:40
VH_00085,BMW X5,88.9,60.0,38.675407,-109.54233,97.5,2024-11-01 04:52:14
VH_00086,Toyota Camry,,90.1,40.562168,-3.076662,97.8,2024-11-20 03:48:00
VH_00087,Honda Civic,82.4,88.1,25.38877,31.791242,82.3,2024-11-02 21:14:11
VH_00088,BMW X5,67.5,167.8,-60.774771,94.662308,98.7,2024-11-17 22:07:24
VH_00089,Tesla Model 3,89.3,123.9,35.361974,54.32628,97.8,2024-11-12 23:31:59
VH_00090,Tesla Model 3,62.1,146.4,23.571488,63.513216,90.9,2024-11-08 04:17:51
VH_00091,Ford F-150,87.3,122.6,-44.228154,36.773758,98.6,2024-11-08 20:04:35
VH_00092,Tesla Model 3,,138.8,25.99153,150.077827,81.9,2024-11-29 10:55:35
VH_00093,Toyota Camry,64.8,163.8,67.68111,-120.303501,82.8,2024-11-15 16:06:40
VH_00094,Tesla Model 3,92.0,159.6,15.494359,84.216037,92.6,2024-11-05 07:32:42
VH_00095,Hyundai Ioniq,94.4,143.6,56.561044,-83.152318,76.3,2024-11-20 07:40:08
VH_00096,Chevrolet Bolt,60.4,30.3,-1.489813,-145.126562,93.2,2024-11-21 06:49:06
VH_00097,Toyota Camry,99.3,131.9,-59.285834,-45.1255,91.1,2024-11-10 14:42:38
VH_00098,Ford F-150,90.2,19.8,12.076584,-103.473586,76.0,2024-11-09 20:53:42
VH_00099,Toyota Camry,71.5,176.9,66.890798,-21.337038,97.4,2024-11-06 07:13:18
VH_00100,Honda Civic,70.0,52.8,-22.008863,-80.365607,80.3,2024-11-29 10:19:39
VH_00101,BMW X5,89.1,136.9,-88.288816,-84.21093,98.7,2024-11-29 06:35:53
VH_00102,Honda Civic,62.5,38.0,52.521577,-44.760311,85.6,2024-11-13 21:43:16
VH_00103,BMW X5,88.4,60.7,-12.698348,-46.517356,96.7,2024-11-16 07:15:44
VH_00104,Ford F-150,116.5,119.7,-21.881574,-159.393044,80.7,2024-11-17 00:46:30
VH_00105,Tesla Model 3,60.2,156.7,-17.674496,120.751617,97.8,2024-11-02 05:55:11
VH_00106,Honda Civic,112.1,50.3,35.867632,113.418633,81.1,2024-11-24 01:38:50
VH_00107,Honda Civic,99.6,0.6,24.853186,159.097574,79.7,2024-11-18 11:40:11
VH_00108,Chevrolet Bolt,118.2,132.4,32.027296,-95.918885,84.5,2024-11-30 17:43:18
VH_00109,BMW X5,80.9,169.0,79.46597,-8.59611,89.8,2024-11-05 21:02:21
VH_00110,Ford F-150,77.6,35.1,-64.23094,7.219594,87.2,2024-11-25 11:56:39
VH_00111,Tesla Model 3,89.9,15.7,59.82374,178.669706,99.6,2024-11-23 15:51:53
VH_00112,Tesla Model 3,86.8,20.8,29.27558,-93.275419,76.3,2024-11-05 08:11:44
VH_00113,Mercedes EQS,119.6,5.3,77.220626,-62.459714,81.5,2024-11-14 14:38:26
VH_00114,Ford F-150,75.5,85.7,71.551959,-135.68468,74.1,2024-11-26 22:47:17
VH_00115,Tesla Model 3,89.5,143.2,-30.095799,-99.429762,87.3,2024-11-30 03:50:32
VH_00116,Tesla Model 3,80.6,163.8,43.734208,81.010111,89.6,2024-11-28 06:39:39
VH_00117,Honda Civic,86.2,42.0,-43.363089,-75.248459,73.3,2024-11-17 12:24:20
VH_00118,Toyota Camry,116.2,134.0,-69.10088,-47.614671,95.6,2024-11-19 10:57:33
VH_00119,Honda Civic,60.1,11.1,6.408547,124.962695,99.4,2024-11-16 12:24:39
VH_00120,Toyota Camry,107.9,168.1,-67.264674,58.9474,87.7,2024-11-06 04:10:53
VH_00121,BMW X5,92.3,82.9,-63.953858,159.440367,95.1,2024-11-25 06:20:50
VH_00122,Honda Civic,68.8,51.0,44.470788,125.685889,94.8,2024-11-02 16:00:48
VH_00123,Chevrolet Bolt,78.5,178.3,-67.776478,178.865498,91.2,2024-11-24 05:14:23
VH_00124,Hyundai Ioniq,72.9,52.5,83.969227,-158.827468,94.3,2024-11-08 09:54:39
VH_00125,Toyota Camry,72.6,131.9,55.875357,72.146669,71.6,2024-11-09 16:34:25
VH_00126,BMW X5,103.6,53.8,56.702189,148.455494,74.8,2024-11-02 01:07:33
VH_00127,Tesla Model 3,80.2,122.0,88.256574,92.777107,81.7,2024-11-26 14:59:00
VH_00128,Tesla Model 3,76.9,166.2,36.199561,17.283611,72.9,2024-11-16 16:48:35
VH_00129,Honda Civic,94.8,144.9,62.96575,75.451511,83.7,2024-11-08 22:43:04
VH_00130,Honda Civic,86.5,86.8,71.499256,-104.484116,94.1,2024-11-10 11:57:16
VH_00131,Hyundai Ioniq,60.5,130.7,13.622777,64.19441,99.7,2024-11-08 03:58:22
VH_00132,Tesla Model 3,119.0,122.3,-59.719875,-159.720657,80.7,2024-11-24 00:06:18
VH_00133,Honda Civic,63.1,176.4,27.017605,33.62126,99.1,2024-11-20 14:41:13
VH_00134,Ford F-150,67.1,71.4,-35.51587,34.615973,75.2,2024-11-19 05:20:22
VH_00135,Toyota Camry,119.5,120.7,-73.869993,-13.07744,94.5,2024-11-19 13:10:47
VH_00136,Tesla Model 3,99.2,66.1,-68.399931,-150.250683,84.7,2024-11-25 17:54:00
VH_00137,BMW X5,95.2,177.7,-3.690294,69.741307,72.8,2024-11-29 18:45:14
VH_00138,Mercedes EQS,89.1,116.0,-11.941834,25.712316,73.0,2024-11-04 01:58:51
VH_00139,Ford F-150,111.7,96.8,-17.040507,72.267087,81.8,2024-11-27 00:58:15
VH_00140,Chevrolet Bolt,91.8,11.5,60.685909,14.033443,94.6,2024-11-07 00:34:28
VH_00141,Tesla Model 3,72.4,118.5,-68.881308,130.321239,90.9,2024-11-01 06:12:10
VH_00142,Toyota Camry,108.0,22.1,-66.813122,-105.757236,74.8,2024-11-28 07:21:20
VH_00143,Toyota Camry,105.2,15.2,-67.550918,-72.511948,99.0,2024-11-09 07:55:55
VH_00144,Ford F-150,116.7,0.0,-35.892004,160.637262,85.6,2024-11-15 05:49:55
VH_00145,Mercedes EQS,86.7,103.9,35.118269,8.159854,99.6,2024-11-18 02:14:46
VH_00146,BMW X5,90.6,123.8,29.271059,-163.895201,71.1,2024-11-07 21:03:15
VH_00147,Ford F-150,110.0,172.3,18.38599,-102.225612,80.8,2024-11-07 05:42:14
VH_00148,Honda Civic,85.3,99.0,-43.0786,53.916819,74.9,2024-11-23 03:21:26
VH_00149,Chevrolet Bolt,75.3,76.6,35.012767,12.925555,72.1,2024-11-14 01:52:24
VH_00150,Ford F-150,101.8,34.7,-23.014393,56.634499,94.6,2024-11-30 08:48:41
VH_00151,Toyota Camry,109.3,56.9,51.801132,-43.580916,98.9,2024-11-13 00:21:20
VH_00152,Ford F-150,67.5,19.8,8.706381,-156.254631,89.2,2024-11-18 14:42:55
VH_00153,Ford F-150,106.7,26.3,53.657526,-81.487157,72.9,2024-11-11 18:54:41
VH_00154,Toyota Camry,66.3,166.6,-58.368353,82.197869,79.2,2024-11-24 18:26:49
VH_00155,Tesla Model 3,80.9,103.0,-39.24059,-82.420572,73.0,2024-11-03 07:52:52
VH_00156,Mercedes EQS,116.8,70.1,-27.86888,86.86697,99.0,2024-11-26 19:27:16
VH_00157,Chevrolet Bolt,112.9,72.5,16.615822,-86.738029,90.6,2024-11-08 13:09:37
VH_00158,BMW X5,68.6,102.2,-41.873417,150.638992,89.2,2024-11-18 23:15:24
VH_00159,Mercedes EQS,74.9,109.6,37.221617,-114.082371,99.6,2024-11-23 18:02:06
VH_00160,BMW X5,76.5,77.0,79.501862,137.299576,94.4,2024-11-15 19:34:08
VH_00161,Mercedes EQS,65.2,55.0,48.704112,124.288419,89.0,2024-11-04 17:21:14
VH_00162,Honda Civic,116.7,29.7,-79.665926,87.627405,86.6,2024-11-24 22:12:44
VH_00163,Tesla Model 3,60.6,170.7,31.865951,155.678911,74.1,2024-11-25 03:59:06
VH_00164,Tesla Model 3,119.9,159.9,35.618752,-34.030277,88.5,2024-11-01 08:29:37
VH_00165,Mercedes EQS,102.2,134.9,-46.039276,86.033935,98.5,2024-11-26 15:17:39
VH_00166,Tesla Model 3,62.5,80.8,-59.664179,154.86673,92.9,2024-11-11 22:13:26
VH_00167,Ford F-150,82.0,24.0,-26.407524,-161.673637,84.9,2024-11-09 06:37:41
VH_00168,Toyota Camry,66.8,164.5,-45.04226,14.083064,93.0,2024-11-06 17:19:23
VH_00169,Honda Civic,89.0,47.7,-89.597825,47.223523,81.8,2024-11-15 19:08:26
VH_00170,BMW X5,117.5,92.8,70.815214,156.749179,96.8,2024-11-24 16:52:17
VH_00171,Chevrolet Bolt,60.4,82.9,-36.296883,-141.42094,80.5,2024-11-10 00:53:22
VH_00172,Chevrolet Bolt,60.5,77.5,-54.442002,10.474763,97.0,2024-11-20 22:31:20
VH_00173,Mercedes EQS,89.2,28.0,28.19402,-98.605716,81.9,2024-11-15 12:41:32
VH_00174,Mercedes EQS,113.5,96.6,-41.493299,176.172929,89.7,2024-11-22 07:53:15
VH_00175,Tesla Model 3,81.2,78.1,-25.337386,133.385065,76.0,2024-11-10 04:51:41
VH_00176,Ford F-150,68.0,75.8,-30.381568,-168.621645,90.0,2024-11-24 06:25:08
VH_00177,Chevrolet Bolt,119.0,21.4,-1.96779,-1.595665,90.5,2024-11-07 04:28:16
VH_00178,Tesla Model 3,105.9,158.7,0.334545,152.48205,95.3,2024-11-19 21:02:28
VH_00179,Hyundai Ioniq,117.5,142.7,-67.297756,-56.116602,70.4,2024-11-12 11:32:53
VH_00180,Chevrolet Bolt,109.8,77.3,17.475628,-177.109599,84.4,2024-11-14 16:48:50
VH_00181,Toyota Camry,105.7,44.6,-62.55077,4.046341,77.5,2024-11-06 14:00:28
VH_00182,Toyota Camry,119.7,44.5,57.709695,-108.571515,91.2,2024-11-06 00:04:45
VH_00183,Tesla Model 3,90.1,32.6,88.6593,32.830632,89.0,2024-11-12 03:15:07
VH_00184,Tesla Model 3,84.1,49.3,-55.408069,-127.364713,70.5,2024-11-10 16:36:05
VH_00185,Ford F-150,63.1,73.3,-34.83973,47.991591,76.9,2024-11-17 07:40:32
VH_00186,Ford F-150,63.7,76.9,-80.702012,-140.380218,80.9,2024-11-18 00:58:23
VH_00187,Ford F-150,74.8,161.1,-57.284708,-179.807066,89.8,2024-11-16 14:44:14
VH_00188,BMW X5,88.3,163.5,-71.862894,-113.457599,98.4,2024-11-18 15:36:10
VH_00189,Mercedes EQS,66.7,120.4,32.933072,97.366912,73.9,2024-11-18 12:05:34
VH_00190,Ford F-150,81.7,140.2,5.195171,-46.226777,89.5,2024-11-11 04:42:23
VH_00191,Tesla Model 3,65.2,19.1,23.320553,36.660645,71.2,2024-11-10 05:52:16
VH_00192,Chevrolet Bolt,86.7,17.8,79.527241,42.843733,79.0,2024-11-24 00:28:52
VH_00193,Toyota Camry,72.1,129.7,-82.114001,-110.985578,86.5,2024-11-13 06:12:48
VH_00194,BMW X5,105.6,152.3,10.862289,-54.957768,81.0,2024-11-06 16:48:52
VH_00195,Ford F-150,64.1,75.4,77.639819,1.392994,70.7,2024-11-30 02:03:52
VH_00196,Hyundai Ioniq,118.0,52.1,82.044526,-158.114379,99.2,2024-11-10 05:35:18
VH_00197,Tesla Model 3,83.8,123.2,66.64603,169.75383,75.0,2024-11-25 17:21:08
VH_00198,Toyota Camry,106.8,72.2,-41.131046,-113.736117,74.8,2024-11-11 13:45:51
VH_00199,Chevrolet Bolt,60.5,167.2,2.303222,1.374395,91.6,2024-11-13 13:33:51
VH_00200,Chevrolet Bolt,73.2,127.5,9.387166,-118.400725,71.4,2024-11-12 13:32:33
VH_00201,Chevrolet Bolt,98.4,169.6,-40.003829,-132.130298,96.2,2024-11-03 12:01:30
VH_00202,Honda Civic,74.9,148.2,6.227086,-179.496014,80.4,2024-11-30 09:03:43
VH_00203,Toyota Camry,79.5,170.4,69.11755,-84.946255,74.0,2024-11-30 16:25:41
VH_00204,Ford F-150,119.1,112.7,-88.126526,-52.026065,91.9,2024-11-14 13:51:44
VH_00205,Ford F-150,118.3,96.7,86.17723,100.146957,93.4,2024-11-06 04:00:53
VH_00206,Tesla Model 3,101.3,170.2,-43.67787,45.442671,88.1,2024-11-11 00:11:33
VH_00207,Ford F-150,73.2,48.4,14.699484,110.783866,92.6,2024-11-08 13:20:07
VH_00208,Hyundai Ioniq,103.8,78.1,-63.299846,-7.557521,84.9,2024-11-23 07:13:41
VH_00209,Honda Civic,111.7,34.0,-1.706691,82.612797,89.4,2024-11-02 00:31:18
VH_00210,Ford F-150,113.1,147.1,33.726029,-112.374714,74.3,2024-11-21 16:47:10
VH_00211,Honda Civic,114.5,174.7,-71.957916,9.640278,91.8,2024-11-01 13:44:04
VH_00212,Chevrolet Bolt,82.7,3.7,58.781205,94.840472,89.3,2024-11-03 02:57:39
VH_00213,Tesla Model 3,106.2,48.2,78.94771,35.869385,93.8,2024-11-01 10:56:50
VH_00214,Mercedes EQS,66.4,132.5,-29.089815,74.684072,76.1,2024-11-24 07:44:10
VH_00215,Toyota Camry,113.5,146.8,-34.670701,-7.592982,77.3,2024-11-27 09:15:15
VH_00216,Tesla Model 3,97.6,22.2,58.486482,-142.986488,78.9,2024-11-25 19:59:24
VH_00217,Chevrolet Bolt,84.9,0.2,-49.623706,-98.396949,81.6,2024-11-18 03:38:09
VH_00218,Toyota Camry,73.6,158.2,-20.746115,138.320609,94.7,2024-11-06 10:57:56
VH_00219,BMW X5,119.4,40.4,82.163968,-78.546862,72.3,2024-11-17 04:49:03
VH_00220,Tesla Model 3,115.4,165.6,71.205568,37.622298,75.3,2024-11-26 18:03:17
VH_00221,Toyota Camry,70.9,76.5,70.761159,67.377858,88.7,2024-11-14 22:23:08
VH_00222,BMW X5,66.2,164.9,29.111709,155.83746,94.3,2024-11-04 16:58:36
VH_00223,BMW X5,111.7,176.0,50.001127,-127.227928,74.4,2024-11-22 16:26:16
VH_00224,Chevrolet Bolt,107.1,86.1,-77.883546,28.023437,98.8,2024-11-14 12:26:53
VH_00225,Honda Civic,79.4,23.0,48.156374,-53.060847,84.8,2024-11-24 08:44:30
VH_00226,Chevrolet Bolt,84.8,142.8,-29.976274,108.770734,89.6,2024-11-12 22:30:13
VH_00227,Tesla Model 3,93.0,97.0,-1.331747,13.036522,76.9,2024-11-05 01:25:18
VH_00228,Chevrolet Bolt,85.3,104.0,34.829811,89.38206,91.1,2024-11-12 10:01:11
VH_00229,BMW X5,72.2,153.1,-24.76828,-9.386514,74.0,2024-11-06 08:20:29
VH_00230,Hyundai Ioniq,81.0,152.8,66.019052,114.843763,78.8,2024-11-07 23:56:07
VH_00231,Toyota Camry,93.1,167.6,-14.206145,-104.134547,76.7,2024-11-07 16:33:00
VH_00232,Ford F-150,101.7,25.8,41.954674,70.604112,82.7,2024-11-03 15:00:41
VH_00233,BMW X5,99.8,13.3,60.738695,133.371712,70.9,2024-11-18 17:32:25
VH_00234,BMW X5,74.7,2.2,59.592239,-30.061847,93.0,2024-11-23 19:18:56
VH_00235,Honda Civic,104.9,125.7,-36.088615,-31.851906,80.1,2024-11-01 15:23:24
VH_00236,BMW X5,69.4,158.6,-84.218561,90.407854,85.1,2024-11-01 12:39:41
VH_00237,Toyota Camry,85.4,170.7,-8.226628,76.106436,77.7,2024-11-28 18:30:15
VH_00238,BMW X5,102.6,76.3,-61.775885,170.324039,85.6,2024-11-07 01:47:27
VH_00239,Ford F-150,84.0,10.1,-19.387627,116.101788,99.3,2024-11-30 08:58:23
VH_00240,Tesla Model 3,109.0,84.3,-33.625861,51.0807,94.8,2024-11-09 00:02:03
VH_00241,Tesla Model 3,82.3,76.4,-41.414479,-142.415978,80.9,2024-11-17 06:51:10
VH_00242,Toyota Camry,76.9,97.5,-78.24255,34.959872,92.7,2024-11-16 00:09:03
VH_00243,Tesla Model 3,72.1,167.3,-46.739672,-149.385832,87.1,2024-11-03 04:16:57
VH_00244,Toyota Camry,107.4,8.2,-33.375547,159.663291,70.3,2024-11-18 07:31:34
VH_00245,Mercedes EQS,117.5,90.0,-33.39496,-39.369129,80.7,2024-11-07 06:53:53
VH_00246,BMW X5,65.8,73.3,43.461242,-143.638962,94.2,2024-11-08 06:58:48
VH_00247,Tesla Model 3,107.8,85.9,66.386223,-166.533017,74.8,2024-11-23 11:33:28
VH_00248,Hyundai Ioniq,97.6,171.5,-48.317386,-102.367009,90.4,2024-11-07 20:07:00
VH_00249,Chevrolet Bolt,69.7,173.5,2.934144,82.33943,89.5,2024-11-17 13:46:39
VH_00250,Honda Civic,67.9,52.4,22.224738,158.450809,71.2,2024-11-19 19:37:35
VH_00251,Chevrolet Bolt,119.8,109.2,82.442817,24.08431,99.8,2024-11-05 17:29:10
VH_00252,Mercedes EQS,68.6,156.7,8.484489,168.820963,93.4,2024-11-05 05:33:27
VH_00253,Toyota Camry,87.3,30.5,-36.790528,-155.461738,87.3,2024-11-18 03:42:14
VH_00254,Ford F-150,70.8,138.9,-43.570062,-9.626057,77.7,2024-11-22 11:01:12
VH_00255,BMW X5,68.4,22.3,12.372021,-165.746649,95.8,2024-11-20 11:07:40
VH_00256,Mercedes EQS,97.2,122.5,-10.651018,4.492531,88.7,2024-11-16 05:25:24
VH_00257,Tesla Model 3,100.9,91.1,-42.691062,135.193124,90.5,2024-11-03 18:28:41
VH_00258,Ford F-150,74.7,147.8,-88.57027,127.101522,78.7,2024-11-08 16:19:23
VH_00259,Hyundai Ioniq,111.2,40.1,67.348599,60.894202,80.5,2024-11-23 17:49:44
VH_00260,Mercedes EQS,114.0,83.7,-74.551942,83.440124,97.5,2024-11-20 06:28:27
VH_00261,Chevrolet Bolt,72.0,59.2,-32.888725,178.717764,84.6,2024-11-24 02:50:09
VH_00262,Tesla Model 3,87.3,98.1,80.736062,-127.615032,76.4,2024-11-28 14:00:31
VH_00263,Mercedes EQS,96.1,68.5,78.56274,-49.862607,82.9,2024-11-23 23:33:43
VH_00264,Chevrolet Bolt,72.7,4.1,46.550951,-27.748675,77.6,2024-11-09 13:10:40
VH_00265,Toyota Camry,64.2,72.9,-36.299375,76.394413,96.1,2024-11-26 11:24:38
VH_00266,Honda Civic,113.6,33.1,-80.326389,142.184372,82.9,2024-11-15 09:55:09
VH_00267,Ford F-150,81.0,75.4,-4.410105,67.978978,74.8,2024-11-22 04:53:24
VH_00268,Tesla Model 3,101.6,70.0,-88.212328,101.906055,87.9,2024-11-04 18:39:13
VH_00269,Tesla Model 3,94.7,26.0,29.531329,116.461376,92.0,2024-11-16 08:46:01
VH_00270,Toyota Camry,,161.4,78.087492,-0.199559,79.5,2024-11-20 17:28:29
VH_00271,BMW X5,103.3,177.9,79.798274,128.616144,89.0,2024-11-29 01:51:29
VH_00272,Tesla Model 3,73.1,176.2,-14.3683,16.591042,75.0,2024-11-19 07:53:07
VH_00273,Tesla Model 3,72.6,34.4,32.333084,163.837604,81.1,2024-11-18 15:51:04
VH_00274,Toyota Camry,,161.4,0.375336,132.392933,91.0,2024-11-23 03:16:32
VH_00275,Mercedes EQS,81.1,149.1,-13.347145,170.665258,80.1,2024-11-09 12:50:16
VH_00276,Hyundai Ioniq,82.4,99.5,-60.721715,-23.084581,78.6,2024-11-22 05:43:01
