vehicle_id,vehicle_model,engine_temp,speed,latitude,longitude,battery_efficiency,miles
EV-052,MG ZS EV,41,34.1,13.16313,80.2518,3.39,11530.6
EV-062,Model 3,31.4,12.2,13.06627,80.2338,4.24,9455.6
EV-058,Model Y,41.7,38.2,13.17481,80.19164,3.54,1526.3
EV-052,MG ZS EV,41,33.9,13.13038,80.43353,3.83,3938.8
EV-012,MG ZS EV,42,27.7,13.10766,80.37976,3.71,6886.4
EV-039,Model Y,34.6,51,13.02588,80.40787,3.84,3993.2
EV-002,Model Y,32.9,10.9,12.98584,80.26278,3.9,6512.4
EV-003,XUV400,45.6,32.1,13.04615,80.23161,3.84,3393.2
EV-056,Kona Electric,36.2,45,13.20525,80.39883,3.89,5247.3
EV-081,Model Y,36.1,0,13.15382,80.27752,4.11,9786.2
EV-059,Nexon EV,46.6,26.5,13.03867,80.18586,3.87,13386
EV-002,Model Y,27.6,40.4,13.04706,80.19142,3.93,5778.5
EV-002,Model Y,37.6,58.7,13.00837,80.24475,4.52,10380.2
EV-092,Model 3,36,33.6,12.95893,80.26894,4.42,2026.2
EV-054,XUV400,28.7,47.7,13.09083,80.27722,3.75,8114.6
EV-087,Model Y,35.7,49.8,13.22071,80.25601,3.95,13826
EV-096,Ioniq 5,33,49,13.22171,80.45787,3.93,423.9
EV-097,Model Y,36.3,0,13.13133,80.16245,4.03,4017
EV-001,Kona Electric,29.4,50.7,13.03449,80.32452,3.88,1991.7
EV-019,Model 3,44.2,23.3,12.96674,80.2325,4.03,7999.2
EV-002,Model Y,41.2,48.1,13.16646,80.2676,3.84,10196.2
EV-053,Kona Electric,28.2,12.6,13.11848,80.34594,3.75,871.4
EV-044,Ioniq 5,37.1,0,13.0574,80.12808,3.84,1058.9
EV-090,Kona Electric,41.8,56.4,13.04404,80.19503,3.08,13045.1
EV-032,Nexon EV,34.6,23.2,13.13073,80.26001,4.28,6846.2
EV-070,Kona Electric,34.6,51.5,13.01657,80.3888,4.06,6947
EV-032,Nexon EV,41.4,55.7,13.10184,80.38838,4.59,14169
EV-068,Model Y,33.8,9.8,12.98511,80.37288,3.52,4806.5
EV-055,Nexon EV,28.6,0,13.26098,80.09523,3.84,13455.9
EV-075,Kona Electric,28.6,27.6,13.02774,80.18672,4.47,14613.9
EV-056,Kona Electric,27.7,0,13.13457,80.19001,4.14,3629.2
EV-017,Ioniq 5,29.5,0,12.98686,80.26628,4.65,7713
EV-038,Model Y,44,51.7,13.06964,80.12246,4.46,8017.7
EV-024,Model Y,39.6,27.4,13.15347,80.35853,3.03,12993.2
EV-069,Model Y,33.2,29,13.17078,80.11115,4.1,4562.1
EV-098,Ioniq 5,37.6,64,13.14376,80.3533,3.72,11971.6
EV-070,Kona Electric,40.1,26,13.07164,80.34037,3.99,14565.3
EV-086,Model 3,37.6,35.7,13.02942,80.18315,3.83,12605.8
EV-011,Kona Electric,39.6,52.4,12.99649,80.37166,4.48,13637.6
EV-016,MG ZS EV,28.5,0,13.203,80.24404,3.99,10626.8
EV-097,Model Y,37.7,52.8,13.09097,80.22328,2.59,13559.8
EV-073,Model Y,38.5,54.3,13.10576,80.23698,3.64,2476.9
EV-059,Nexon EV,38.9,61.2,13.17593,80.24385,4.5,10686.9
EV-070,Kona Electric,39.4,31.3,13.12964,80.25121,3.55,10979.5
EV-080,Model 3,39,26.4,13.07251,80.25302,4.49,6590.5
EV-093,Model Y,28.9,12.7,13.14225,80.19947,4.42,1200.7
EV-003,XUV400,36.7,59.9,13.0329,80.21804,3.6,9338.5
EV-020,Model Y,34.3,48.1,12.95861,80.22497,4.01,783
EV-059,Nexon EV,40.8,15.8,13.19565,80.40452,3.97,5739.1
EV-036,Kona Electric,44.9,13.6,13.03956,80.22501,3.79,5908.1
EV-019,Model 3,29.7,0,13.05836,80.21987,3.73,14983.8
EV-090,Kona Electric,31.2,0,13.06541,80.39201,4.57,4500.5
EV-067,Model 3,42.7,54.3,13.03452,80.24494,3.74,12307.7
EV-019,Model 3,32.9,37.1,13.17081,80.19948,3.69,802.3
EV-020,Model Y,42,47.3,13.11266,80.18214,4.17,7948.8
EV-096,Ioniq 5,40.1,68.4,13.0584,80.15709,3.7,8052.7
EV-071,Model Y,27.4,34.1,12.98065,80.31399,3.4,9433.1
EV-052,MG ZS EV,26.7,10.4,13.107,80.12635,3.74,12151
EV-033,Nexon EV,32.9,21.2,12.88665,80.37841,3.32,11430
EV-040,Kona Electric,39.9,14.6,13.10132,80.26339,5.02,11416.3
EV-039,Model Y,34.8,60.3,13.19015,80.23573,3.55,6487.2
EV-082,Model 3,35,47.1,13.08786,80.25243,3.69,10913.4
EV-001,Kona Electric,38.1,42,13.17921,80.30774,3.8,7372.3
EV-011,Kona Electric,26.3,21.7,12.98437,80.23311,3.7,1008.9
EV-092,Model 3,33.5,0,13.24578,80.25536,3.93,13353.3
EV-057,Model 3,32,64.4,13.17048,80.35495,4.11,13353
EV-089,XUV400,34.8,0,13.12078,80.29845,4.04,4846.6
EV-050,MG ZS EV,30.7,23.1,13.03483,80.1707,3.44,13709
EV-023,Model 3,27.3,0,13.02154,80.21408,3.54,11371
EV-031,Model Y,36.8,29,13.07703,80.12819,4.07,6015
EV-094,Model 3,39.5,29.4,13.17892,80.31992,3.67,4975.9
EV-042,Ioniq 5,35.1,9.9,12.97746,80.32846,3.92,14627.3
EV-099,Kona Electric,38.8,47.8,13.08353,80.19595,5,10690.8
EV-007,XUV400,33.1,0,13.14144,80.45509,3.6,5685.3
EV-016,MG ZS EV,33.9,0,13.15705,80.46573,3.42,9631.5
EV-090,Kona Electric,37.2,25.1,13.1412,80.27252,3.7,8575
EV-060,Model Y,36.1,50.5,12.96929,80.20691,3.17,7870.5
EV-002,Model Y,40.3,42,13.17324,80.2926,4.51,9672.3
EV-001,Kona Electric,29.5,12.7,13.08808,80.20502,3.54,8066.7
EV-048,Model Y,37.5,0,12.99585,80.3467,3.61,9823.6
EV-012,MG ZS EV,41.6,47.7,13.08077,80.28401,3.41,13614
EV-069,Model Y,46.3,27.9,12.92601,80.28976,3.3,14899
EV-037,Model 3,40.6,50,13.12896,80.41143,3.88,10640.8
EV-032,Nexon EV,41.3,40,13.07248,80.22118,3.7,13917.7
EV-009,Model 3,29.5,44.3,12.98109,80.22438,3.28,12876.9
EV-099,Kona Electric,42.3,46.4,13.05949,80.33937,3.82,4429.1
EV-019,Model 3,37.9,0,13.0261,80.23694,4.15,13994
EV-048,Model Y,46.7,59.5,13.03121,80.39901,3.51,1066.8
EV-080,Model 3,34.1,12.5,12.90182,80.35074,4.24,4952.2
EV-003,XUV400,36.1,48.1,12.94893,80.24099,4.62,9601
EV-020,Model Y,26.6,0,13.06432,80.12577,4.33,7906.1
EV-024,Model Y,28.1,8.8,13.05056,80.15452,4.09,8138.5
EV-054,XUV400,34,17.6,13.16062,80.23216,4.32,11924.4
EV-033,Nexon EV,25.5,18.6,13.03216,80.30308,4.89,2924.6
EV-024,Model Y,31,23.7,13.04054,80.35888,3.42,14731.2
EV-075,Kona Electric,35,21.3,13.04428,80.25332,4.25,6564.7
EV-072,Kona Electric,32.3,0,13.06694,80.19959,3.6,14247.9
EV-036,Kona Electric,28.4,10.6,13.09002,80.25944,4.1,5749.8
EV-038,Model Y,31.9,50.8,13.05019,80.27233,3.35,9028.8
EV-084,Ioniq 5,31.3,39.5,13.1284,80.3751,4.3,6757.4
EV-099,Kona Electric,30.9,0,13.26672,80.37065,4.11,10140.6
EV-089,XUV400,47.2,38.3,13.01666,80.19055,4.57,2758.5
EV-099,Kona Electric,37.3,0,13.11405,80.30703,3.89,6012.4
EV-025,XUV400,40.1,58.6,13.08506,80.20239,3.61,1030.4
EV-093,Model Y,34.8,0,13.16646,80.20465,3.88,8973.5
EV-018,XUV400,44.3,60.3,13.09894,80.35379,4.68,14440.4
EV-082,Model 3,44,71.5,13.02458,80.25476,3.72,693.4
EV-066,XUV400,37.6,59.6,12.9895,80.32189,4.25,9896.2
EV-054,XUV400,31.5,31.4,13.13154,80.31348,4.29,11627.6
EV-035,MG ZS EV,36.5,42.5,12.996,80.26434,4.35,3200.6
EV-080,Model 3,42.6,46.1,13.1774,80.29734,3.39,4099.7
EV-061,Ioniq 5,33.6,24.7,13.12696,80.28701,3.78,3027.7
EV-041,Ioniq 5,28.5,16.9,13.08964,80.17866,3.75,4464.7
EV-100,Kona Electric,25.2,15,12.97772,80.30969,4.02,1655.7
EV-033,Nexon EV,33.3,16.2,13.13673,80.21422,3.96,5558.4
EV-068,Model Y,28.2,10.8,13.21204,80.18517,3.36,5537.1
EV-033,Nexon EV,31.9,17.1,13.04869,80.33907,4.02,12110
EV-014,XUV400,42.7,28.4,13.02335,80.22339,3.2,12015.4
EV-021,Ioniq 5,31.7,0,13.07534,80.35956,4.31,11951.9
EV-048,Model Y,28.2,0,13.12006,80.35857,4.04,8507.7
EV-020,Model Y,38.7,43,13.0402,80.23256,4.5,4891.6
EV-008,Kona Electric,41.6,0,13.15464,80.35617,4.09,6167.4
EV-007,XUV400,35.4,33,13.23556,80.23955,3.82,4769.6
EV-067,Model 3,24,31.4,13.10912,80.26523,3.37,8731
EV-017,Ioniq 5,40.3,42,13.0567,80.3102,3.84,14070
EV-033,Nexon EV,33.7,0,13.1179,80.43385,3.68,4271
EV-048,Model Y,35.6,26.2,13.17688,80.34597,4.15,6885.5
EV-076,MG ZS EV,37.4,54.5,13.09547,80.26608,3.64,9828.5
EV-059,Nexon EV,31.3,27.9,13.12151,80.27896,4.24,12671.2
EV-086,Model 3,39.6,0,13.13908,80.14405,4.54,3803.7
EV-022,Ioniq 5,29.1,52.1,13.01266,80.35108,3.29,4207.9
EV-030,XUV400,38.7,68.3,13.11943,80.34249,3.53,13278.1
EV-038,Model Y,33.4,25.5,12.97534,80.29338,3.98,1208.5
EV-051,XUV400,39.4,26.5,13.03003,80.32812,4.13,9083.7
EV-054,XUV400,43,40,13.17435,80.10868,4.27,12907.5
EV-008,Kona Electric,33.7,23.9,13.15238,80.18416,4.64,13826.5
EV-027,Model Y,37.3,36.5,13.06109,80.41482,3.56,195.2
EV-027,Model Y,40.5,59.4,13.21916,80.25008,3.08,5548.1
EV-098,Ioniq 5,37.7,3.4,12.97788,80.33129,4.08,3862.7
EV-021,Ioniq 5,39.6,20.5,13.06629,80.21097,4.18,8522.6
EV-030,XUV400,34.4,42.3,13.10471,80.23533,4.29,9494.8
EV-097,Model Y,40.6,53.8,12.85804,80.41907,3.52,14996.6
EV-028,Model 3,37.3,28.2,13.07009,80.2581,3.37,7693.9
EV-064,Nexon EV,36.4,41.2,12.99274,80.31258,4.49,8274.2
EV-097,Model Y,36.7,23.5,12.99456,80.28114,4.2,6217.6
EV-069,Model Y,36.1,32.9,13.06092,80.29041,3.85,2219.4
EV-061,Ioniq 5,36.3,29.1,12.93665,80.28768,3.14,4553.4
EV-048,Model Y,32.4,60,13.01806,80.11249,3.43,3708.5
EV-019,Model 3,30.9,28.8,12.93852,80.30887,4.28,12019.3
EV-004,Kona Electric,36.1,0,13.0926,80.22769,4.17,8189.5
EV-035,MG ZS EV,32,50.6,13.09105,80.41307,3.34,4446.4
EV-064,Nexon EV,34.4,0,13.05482,80.20889,4.25,7338.9
EV-049,Nexon EV,37.8,51.4,13.16242,80.23297,3.84,3286.9
EV-017,Ioniq 5,37.2,0,13.05901,80.46639,4.51,2781
EV-044,Ioniq 5,37.2,16.5,13.08085,80.32857,3.72,12899.8
EV-092,Model 3,29.7,0,13.01022,80.19203,3.75,14172.4
EV-030,XUV400,35.9,41.9,12.89844,80.28481,4.05,1204.8
EV-093,Model Y,26.6,37.4,13.07107,80.17307,3.83,11474.4
EV-046,Model Y,31.3,0,13.06062,80.29131,3.65,6802.4
EV-006,XUV400,28.7,25.1,13.21949,80.20635,4.74,5837.6
EV-099,Kona Electric,35.3,36.9,13.1361,80.41989,4.57,10342.7
EV-037,Model 3,33.7,40.7,13.04965,80.30437,3.62,3997.5
EV-024,Model Y,34.3,55.4,13.09403,80.3129,3.88,313.6
EV-093,Model Y,39.4,11.9,13.15526,80.34668,3.39,3214
EV-046,Model Y,32,53.4,13.12404,80.35563,4.51,2778
EV-053,Kona Electric,29.4,18.3,13.21621,80.21557,4.3,515.6
EV-095,Model 3,29.1,5.2,13.01955,80.2783,4.4,4823.1
EV-099,Kona Electric,29.6,0,13.1607,80.23506,3.9,7120.4
EV-060,Model Y,30,20,13.04887,80.43823,4.47,11038.8
EV-097,Model Y,36.7,54.4,13.09819,80.08788,4.28,4888.3
EV-063,Model 3,39.5,49.9,13.03809,80.22469,3.84,2922.1
EV-085,Ioniq 5,37.4,17.3,13.07134,80.2643,3.54,3463.1
EV-032,Nexon EV,36.6,12.2,13.09962,80.28165,4.17,13368.2
EV-087,Model Y,25.7,27,13.13016,80.28002,3.95,3074.8
EV-033,Nexon EV,42.3,70,13.08761,80.26701,4.24,13189.2
EV-067,Model 3,38.7,37.8,12.88381,80.25771,4.02,6709.2
EV-018,XUV400,32.5,31.5,13.07654,80.29,4.04,14016.3
EV-025,XUV400,47.6,60.4,13.20033,80.30762,3.98,6124.3
EV-095,Model 3,37.4,0,13.07591,80.41396,4,2669.4
EV-054,XUV400,31.1,0,13.20258,80.41325,4.28,8237.7
EV-058,Model Y,31.9,23.7,13.07308,80.29478,3.78,8817.7
EV-067,Model 3,45.1,40.6,12.95694,80.23107,3.55,9534.2
EV-046,Model Y,34.5,21.3,13.04806,80.23667,3.63,6175.4
EV-024,Model Y,34.3,15.3,13.03803,80.16557,3.87,733.8
EV-032,Nexon EV,35.5,26.5,13.06434,80.34696,4.05,9402.7
EV-047,Kona Electric,48,37.3,12.98787,80.26712,4.15,13995.8
EV-086,Model 3,36.3,44.7,13.08199,80.30568,4.18,14363.6
EV-023,Model 3,35,25.6,13.05644,80.2974,4,8955.3
EV-066,XUV400,28.8,8.3,13.18573,80.21489,3.57,303.2
EV-027,Model Y,33.1,25.6,12.98588,80.20501,4.28,1595
EV-002,Model Y,30,25.9,13.10235,80.23447,3.4,12510.7
EV-090,Kona Electric,31.8,31.8,13.11558,80.30956,3.53,12447
EV-017,Ioniq 5,29.5,54.8,13.1447,80.26424,3.82,14190.5
EV-033,Nexon EV,36.4,0,13.05361,80.12948,4.32,8458.8
EV-009,Model 3,39.4,55.5,13.10036,80.18877,4.04,12957.9
EV-043,Kona Electric,39.2,49.9,13.11096,80.24931,3.86,12374.2
EV-048,Model Y,34.4,21.9,12.95083,80.26827,4.18,8843.4
EV-039,Model Y,36,30.1,13.05648,80.31194,3.57,11755.6
EV-093,Model Y,40.7,4.9,13.08009,80.27384,3.78,1890
EV-042,Ioniq 5,30.8,21.8,13.08947,80.24168,3.78,9589.8
EV-026,Nexon EV,37.2,31.9,13.08849,80.23893,3.61,14302
EV-099,Kona Electric,33.4,0,13.1177,80.28682,3.86,2433.6
EV-050,MG ZS EV,42.7,41.4,13.23771,80.30414,3.92,11161.9
EV-025,XUV400,40.4,51.8,13.03507,80.24432,3.68,4815.2
EV-024,Model Y,38.9,36.9,13.11319,80.18448,3.9,12257.5
EV-013,MG ZS EV,33.9,68.5,13.1868,80.26281,2.38,10459.7
EV-060,Model Y,30.5,21.1,12.93881,80.21871,4.15,13893
EV-007,XUV400,32.2,50.5,13.10415,80.29371,3.73,10680.5
EV-057,Model 3,22.4,23.2,12.94827,80.38916,3.84,6157.6
EV-036,Kona Electric,34,0,13.25755,80.16257,3.44,168.3
EV-045,MG ZS EV,33.6,24.2,13.12446,80.36276,4.62,11894.8
EV-020,Model Y,34,0,13.11367,80.30822,4.64,6129.9
EV-065,Model 3,36.5,35.9,12.93283,80.35893,3.33,10061.2
EV-008,Kona Electric,39.1,48.8,13.04234,80.23584,3.83,1580.5
EV-016,MG ZS EV,43.5,40.4,13.04272,80.15502,4.37,13365.1
EV-014,XUV400,34.1,17,13.22402,80.28508,3.86,6537.7
EV-076,MG ZS EV,40.7,44.9,13.14104,80.38267,3.76,13795.8
EV-087,Model Y,37.6,59.2,12.95047,80.18586,3.45,10606.7
EV-015,Model Y,40.6,37.3,13.12026,80.19788,4.13,1826.3
EV-092,Model 3,29,26.8,12.96247,80.31768,5.05,8690.1
EV-098,Ioniq 5,26.3,29.4,12.95235,80.22972,4.33,13649.5
EV-066,XUV400,47.9,44.5,13.11897,80.40399,3.51,12000.6
EV-032,Nexon EV,49,65,13.14228,80.32287,3.29,6272.6
EV-087,Model Y,28.9,55.2,13.1194,80.21316,3.69,14326.2
EV-063,Model 3,38,51.6,13.23307,80.22553,3.53,4032.3
EV-086,Model 3,40.4,63.8,13.1122,80.22869,3.21,5629.7
EV-051,XUV400,35.6,0,13.09631,80.26727,4.3,11247
EV-025,XUV400,48.1,61.6,12.98542,80.29506,3.42,3497.4
EV-058,Model Y,33.7,58.3,13.15131,80.28921,3.88,7733
EV-063,Model 3,27,0,12.95058,80.18072,4.71,10933.2
EV-062,Model 3,38.3,52.4,13.24433,80.34285,3.64,9661.3
EV-022,Ioniq 5,30.1,24.2,13.15236,80.24749,4.11,2334.8
EV-058,Model Y,21.3,23.5,13.30588,80.1965,3.59,9446.8
EV-058,Model Y,37.2,52.5,13.11385,80.23366,4.02,8592.8
EV-086,Model 3,38.6,19,13.15631,80.35184,4.52,8369.9
EV-049,Nexon EV,31.9,0,13.06053,80.28593,4.5,12391.6
EV-052,MG ZS EV,38.4,27.7,13.07924,80.2929,4.02,2762.5
EV-042,Ioniq 5,36.6,18.5,12.99858,80.1771,3.79,11274.7
EV-070,Kona Electric,33.6,56.4,12.96688,80.28128,3.87,11415.1
EV-015,Model Y,32.8,4,13.09786,80.3505,4.02,10841.1
EV-054,XUV400,26.7,19,13.07877,80.12646,4.18,7592
EV-060,Model Y,37.1,63.8,12.99662,80.23958,3.37,5936.1
EV-097,Model Y,34.2,16,13.0108,80.32055,3.84,5923.2
EV-008,Kona Electric,35.7,30.9,13.0853,80.28336,3.91,11008.5
EV-053,Kona Electric,27.6,16.8,12.99525,80.1892,4.27,7471
EV-060,Model Y,33.9,61.2,13.11123,80.30256,4,5079.8
EV-005,MG ZS EV,36.1,22,12.99773,80.17731,3.83,9383.9
EV-068,Model Y,38.7,21.6,13.10317,80.2013,3.54,12556
EV-006,XUV400,31,0,12.99064,80.2097,4.15,927.3
EV-096,Ioniq 5,30.7,0,12.99098,80.39417,4.29,14582.2
EV-094,Model 3,39.7,25.5,12.89372,80.13712,3.95,1454.3
EV-047,Kona Electric,29.5,11.6,13.06988,80.14303,3.71,7678.5
EV-099,Kona Electric,44.8,34.7,13.19903,80.29337,3.81,8405.3
EV-055,Nexon EV,33.1,65.4,13.19449,80.27908,4.25,2077.5
